Year;Road Name;From Street;To Street;length_(m);PCI Rating;Geom;geo_point_2d
2020;66TH AV;CROMPTON ST;EAST END;114;VERY GOOD;"{""coordinates"": [[-123.0807199243045, 49.21011658949011], [-123.07915486023708, 49.21010351041199]], ""type"": ""LineString""}";49.21011004995105, -123.0799373922708
2020;26TH AV;LAUREL ST;WILLOW ST;174;VERY POOR;"{""coordinates"": [[-123.12475667226323, 49.24810420354336], [-123.12475380866385, 49.24810415716184], [-123.12236659902652, 49.24806541047184]], ""type"": ""LineString""}";49.248084807056244, -123.1235616356441
2020;53RD AV;QUEBEC ST;MAIN ST;158;GOOD;"{""coordinates"": [[-123.10392129242173, 49.22200815922933], [-123.1032875078303, 49.221994251574976], [-123.1024025990297, 49.22197492419917], [-123.10175414086474, 49.221959364210015], [-123.10175274825849, 49.22195932855611]], ""type"": ""LineString""}";49.22198421194369, -123.10283700958752
2020;57TH AV;FRASER ST;PRINCE ALBERT ST;229;POOR;"{""coordinates"": [[-123.09094661155031, 49.21825587552915], [-123.09078884511608, 49.2182654086945], [-123.0903102238963, 49.21825912827656], [-123.08846875820703, 49.21823589274247], [-123.08780326000769, 49.218225909325106]], ""type"": ""LineString""}";49.2182469013218, -123.08937505897997
2020;BEACH AV;CARDERO ST;NICOLA ST;121;VERY GOOD;"{""coordinates"": [[-123.14185235986751, 49.28310589579914], [-123.14067379655476, 49.2823439662256], [-123.14066897385416, 49.282340842674124]], ""type"": ""LineString""}";49.28272337124592, -123.14126066556067
2020;BROADWAY;8TH AV;8TH AV / WALLACE CRESCENT;98;NO DATA;"{""coordinates"": [[-123.19473597291449, 49.26531576086412], [-123.19448267895909, 49.26529079222022], [-123.19425313665519, 49.26525668893519], [-123.1939708220589, 49.26520441442588], [-123.19343414033186, 49.26509510216319]], ""type"": ""LineString""}";49.26521865664469, -123.19408299045166
2020;13TH AV;BIRCH ST;ALDER ST;173;NO DATA;"{""coordinates"": [[-123.13387113659186, 49.259754013870754], [-123.13386645945374, 49.259753937433494], [-123.1314975273767, 49.259716287353925], [-123.13149420954484, 49.25971623446015]], ""type"": ""LineString""}";49.259735123197835, -123.13268267308398
2020;35TH AV;WEST END;SOPHIA ST;16;VERY POOR;"{""coordinates"": [[-123.0994811411741, 49.2389244650142], [-123.09926142447347, 49.23892020675855]], ""type"": ""LineString""}";49.23892233588637, -123.09937128282378
2020;BARCLAY ST;GILFORD ST;DENMAN ST;161;VERY GOOD;"{""coordinates"": [[-123.13913183916482, 49.29108719412941], [-123.13913162010462, 49.29108705226956], [-123.13755899207415, 49.290069210690426], [-123.1375579987703, 49.29006856871848]], ""type"": ""LineString""}";49.29057788107294, -123.13834491919458
2020;11TH AV;GRANDVIEW HWY NORTH;TEMPLETON DRIVE;77;VERY GOOD;"{""coordinates"": [[-123.06115693489143, 49.26035677914297], [-123.06110692854867, 49.26038697283565], [-123.06105066122832, 49.26039881598958], [-123.06012597088304, 49.2603920921344], [-123.06011960061078, 49.26039204687515]], ""type"": ""LineString""}";49.2603939774141, -123.06064274986969
