road_name,from_street,to_street,pci_rating,dist_to_water_m,humidity_proxy,pavement_risk,pci_missing,pavement_risk_adj,bearing_deg,sun_exposure,is_bridge,recent_moisture,temp_near_zero,black_ice_risk
BEATRICE ST,KINGSWAY,NORTH END,GOOD,846.3,0.184,0.3,0,0.3,1.141661546925775,0.8,0,1,1.0,0.462
52ND AV,CHURCHILL ST,GRANVILLE ST,VERY GOOD,1570.7,0.043,0.1,0,0.1,91.21078306739423,0.5,0,1,1.0,0.331
67TH AV,SHERBROOKE ST,CROMPTON ST,VERY GOOD,189.4,0.685,0.1,0,0.1,90.78289589130725,0.5,0,1,1.0,0.427
BAYSWATER ST,2ND AV,POINT GREY ROAD,GOOD,1609.3,0.04,0.3,0,0.3,1.458828786978927,0.8,0,1,1.0,0.441
COMMERCIAL ST,55TH AV,53RD AV,FAIR,1344.0,0.068,0.5,0,0.5,1.6880501504397216,0.8,0,1,1.0,0.48
BRIGADOON AV,DUFF ST,HUMM ST,FAIR,1050.0,0.122,0.5,0,0.5,91.4615657156271,0.5,0,1,1.0,0.413
10TH AV,HEATHER ST,ASH ST,GOOD,123.8,0.781,0.3,0,0.3,91.49512414538901,0.5,0,1,1.0,0.477
12TH AV,ARBUTUS ST,MAPLE ST,GOOD,1327.9,0.07,0.3,0,0.3,91.49687452981351,0.5,0,1,1.0,0.37
44TH AV,MACKENZIE ST,MACDONALD ST,NO DATA,804.2,0.2,0.5,1,0.4,90.33098723517537,0.5,0,1,1.0,0.407
BUTE ST,COMOX ST,NELSON ST,GOOD,138.8,0.758,0.3,0,0.3,44.770284352808005,0.8,0,1,1.0,0.549
CARNARVON ST,31ST AV,30TH AV,VERY GOOD,1883.7,0.023,0.1,0,0.1,0.509559382368252,0.8,0,1,1.0,0.403
COMMERCIAL DR,4TH AV,3RD AV,GOOD,1168.9,0.097,0.3,0,0.3,0.8002928959637643,0.8,0,1,1.0,0.449
54TH AV,BUTLER ST,CHAMPLAIN CRESCENT / TYNE ST,VERY POOR,815.8,0.196,0.95,0,0.95,90.82274861739529,0.5,0,1,1.0,0.504
BALSAM ST,41ST AV,39TH AV,NO DATA,1235.7,0.084,0.5,1,0.4,1.5249119861807685,0.8,0,1,1.0,0.465
16TH AV,INVERNESS ST,CLARK DRIVE,VERY POOR,1043.7,0.124,0.95,0,0.95,91.40527988737585,0.5,0,1,1.0,0.493
45TH AV,TODERICK ST,ARLINGTON ST,GOOD,1660.9,0.036,0.3,0,0.3,90.56599035950262,0.5,0,1,1.0,0.365
ANGUS DR,58TH AV,57TH AV,VERY GOOD,966.3,0.145,0.1,0,0.1,1.511419889123033,0.8,0,1,1.0,0.421
19TH AV,KNIGHT ST,EAST END,GOOD,842.3,0.186,0.3,0,0.3,91.46014743714494,0.5,0,1,1.0,0.387
COLUMBIA ST,WOODSTOCK AV,40TH AV,FAIR,572.7,0.318,0.5,0,0.5,1.76550026416146,0.8,0,1,1.0,0.518
BEATRICE ST,SOUTH END,22ND AV,GOOD,576.4,0.316,0.3,0,0.3,0.18998066164749616,0.8,0,1,1.0,0.482
CONTINENTAL ST,NEON ST,DRAKE ST,GOOD,512.1,0.359,0.3,0,0.3,46.8701662549816,0.5,0,1,1.0,0.414
51ST AV,ONTARIO ST,QUEBEC ST,VERY POOR,179.0,0.699,0.95,0,0.95,91.87255217387604,0.5,0,1,1.0,0.58
27TH AV,ASH ST,CAMBIE ST,VERY POOR,270.2,0.582,0.95,0,0.95,91.69194209346642,0.5,0,1,1.0,0.562
71ST AV,MONTCALM ST,HUDSON ST,VERY GOOD,636.5,0.28,0.1,0,0.1,91.34673378513452,0.5,0,1,1.0,0.366
CAROLINA ST,18TH AV,17TH AV,GOOD,1743.3,0.031,0.3,0,0.3,1.4240361401709833,0.8,0,1,1.0,0.439
2ND AV,SEMLIN DRIVE,LAKEWOOD DRIVE,GOOD,908.6,0.162,0.3,0,0.3,90.71724183461134,0.5,0,1,1.0,0.384
44TH AV,JOYCE ST,LATTA ST,FAIR,1259.3,0.081,0.5,0,0.5,90.35188055105868,0.5,0,1,1.0,0.407
53RD AV,FLEMING ST,ARGYLE ST,VERY GOOD,1442.5,0.056,0.1,0,0.1,90.78079620914946,0.5,0,1,1.0,0.333
20TH AV,EAST BOULEVARD,MAPLE ST,VERY POOR,1737.9,0.031,0.95,0,0.95,81.35166007872147,0.5,0,1,1.0,0.479
7TH AV,WATERLOO ST,BLENHEIM ST,VERY GOOD,1081.0,0.115,0.1,0,0.1,91.52683081715418,0.5,0,1,1.0,0.342
1ST AV,BALSAM ST,VINE ST,GOOD,1106.9,0.109,0.3,0,0.3,91.53121193536049,0.5,0,1,1.0,0.376
33RD AV,COLLINGWOOD ST,BLENHEIM ST,VERY POOR,1602.6,0.041,0.95,0,0.95,90.47577376167328,0.5,0,1,1.0,0.48
4TH AV,TOLMIE ST,SASAMAT ST,VERY POOR,798.0,0.203,0.95,0,0.95,91.47538299390038,0.5,0,1,1.0,0.505
29TH AV,TANNER ST,MCHARDY ST,FAIR,51.2,0.903,0.5,0,0.5,90.52743234976526,0.5,0,1,1.0,0.531
62ND AV,ROSS ST,INVERNESS ST,FAIR,609.4,0.296,0.5,0,0.5,90.68313678057575,0.5,0,1,1.0,0.439
CHURCHILL ST,47TH AV,45TH AV,NO DATA,903.3,0.164,0.5,1,0.4,1.3980165397441624,0.8,0,1,1.0,0.477
15TH AV,DUNBAR ST,COLLINGWOOD ST,NO DATA,1425.6,0.058,0.5,1,0.4,91.49481433745825,0.5,0,1,1.0,0.386
45TH AV,GRANVILLE ST,CARTIER ST,POOR,855.7,0.181,0.8,0,0.8,93.25342069844908,0.5,0,1,1.0,0.475
66TH AV,CROMPTON ST,EAST END,VERY GOOD,210.8,0.656,0.1,0,0.1,90.79131160722915,0.5,0,1,1.0,0.423
26TH AV,LAUREL ST,WILLOW ST,VERY POOR,693.7,0.25,0.95,0,0.95,91.51384076545884,0.5,0,1,1.0,0.512
53RD AV,QUEBEC ST,MAIN ST,GOOD,420.6,0.431,0.3,0,0.3,92.04679984719706,0.5,0,1,1.0,0.425
57TH AV,FRASER ST,PRINCE ALBERT ST,POOR,1210.8,0.089,0.8,0,0.8,90.90145446703195,0.5,0,1,1.0,0.461
BEACH AV,CARDERO ST,NICOLA ST,VERY GOOD,554.8,0.33,0.1,0,0.1,134.76776207804596,0.5,0,1,1.0,0.374
BROADWAY,8TH AV,8TH AV / WALLACE CRESCENT,NO DATA,553.6,0.33,0.5,1,0.4,104.66766482770151,0.5,0,1,1.0,0.427
13TH AV,BIRCH ST,ALDER ST,NO DATA,495.6,0.371,0.5,1,0.4,91.49164869950084,0.5,0,1,1.0,0.433
35TH AV,WEST END,SOPHIA ST,VERY POOR,452.5,0.405,0.95,0,0.95,91.77065059277118,0.5,0,1,1.0,0.535
BARCLAY ST,GILFORD ST,DENMAN ST,VERY GOOD,334.1,0.513,0.1,0,0.1,134.80238582960118,0.5,0,1,1.0,0.402
11TH AV,GRANDVIEW HWY NORTH,TEMPLETON DRIVE,VERY GOOD,350.4,0.496,0.1,0,0.1,87.07233238903518,0.5,0,1,1.0,0.399
28TH AV,KNIGHT ST,DUMFRIES ST,VERY GOOD,1294.0,0.075,0.1,0,0.1,90.92502836780687,0.5,0,1,1.0,0.336
19TH AV,QUEBEC ST,MAIN ST,VERY GOOD,1247.5,0.082,0.1,0,0.1,91.52031746658997,0.5,0,1,1.0,0.337
